hazard,filename,rp,rcp,epoch,gcm,key,url
coastal,inuncoast_rcp8p5_wtsub_2080_rp0025_0.tif,25,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp0025_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp0025_0.tif
coastal,inuncoast_rcp8p5_wtsub_2080_rp0050_0.tif,50,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp0050_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp0050_0.tif
coastal,inuncoast_rcp8p5_wtsub_2080_rp0100_0.tif,100,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp0100_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp0100_0.tif
coastal,inuncoast_rcp8p5_wtsub_2080_rp0250_0.tif,250,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp0250_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp0250_0.tif
coastal,inuncoast_rcp8p5_wtsub_2080_rp0500_0.tif,500,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp0500_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp0500_0.tif
coastal,inuncoast_rcp8p5_wtsub_2080_rp1000_0.tif,1000,8.5,2080,None,inuncoast_rcp8p5_wtsub_2080_rp1000_0,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2080_rp1000_0.tif
fluvial,inunriver_historical_000000000WATCH_1980_rp00002.tif,2,baseline,baseline,WATCH,inunriver_historical_000000000WATCH_1980_rp00002,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_historical_000000000WATCH_1980_rp00002.tif
fluvial,inunriver_historical_000000000WATCH_1980_rp00005.tif,5,baseline,baseline,WATCH,inunriver_historical_000000000WATCH_1980_rp00005,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_historical_000000000WATCH_1980_rp00005.tif
fluvial,inunriver_historical_000000000WATCH_1980_rp00010.tif,10,baseline,baseline,WATCH,inunriver_historical_000000000WATCH_1980_rp00010,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_historical_000000000WATCH_1980_rp00010.tif
fluvial,inunriver_historical_000000000WATCH_1980_rp00025.tif,25,baseline,baseline,WATCH,inunriver_historical_000000000WATCH_1980_rp00025,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_historical_000000000WATCH_1980_rp00025.tif
fluvial,inunriver_historical_000000000WATCH_1980_rp00050.tif,50,baseline,baseline,WATCH,inunriver_historical_000000000WATCH_1980_rp00050,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_historical_000000000WATCH_1980_rp00050.tif
fluvial,inunriver_historical_000000000WATCH_1980_rp00100.tif,100,baseline,baseline,WATCH,inunriver_historical_000000000WATCH_1980_rp00100,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_historical_000000000WATCH_1980_rp00100.tif
fluvial,inunriver_historical_000000000WATCH_1980_rp00250.tif,250,baseline,baseline,WATCH,inunriver_historical_000000000WATCH_1980_rp00250,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_historical_000000000WATCH_1980_rp00250.tif
fluvial,inunriver_historical_000000000WATCH_1980_rp00500.tif,500,baseline,baseline,WATCH,inunriver_historical_000000000WATCH_1980_rp00500,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_historical_000000000WATCH_1980_rp00500.tif
fluvial,inunriver_historical_000000000WATCH_1980_rp01000.tif,1000,baseline,baseline,WATCH,inunriver_historical_000000000WATCH_1980_rp01000,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_historical_000000000WATCH_1980_rp01000.tif
